batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason	working_queue_triage_reason
501	gpm_stl.csv	167188307	OOPS! I DID IT AGAIN - Reimagined COVER	OOPS! I DID IT AGAIN - Reimagined COVER	G Putnam Music	G Putnam Music	0:02:36		COVER	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
502	gpm_stl.csv	167188527	Sweet Tennessee	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Brandon-Emmy	TRAD Rich n' All	0:03:51		Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
506	gpm_stl.csv	167189069	This Puzzle INSTRO EbMaj 88bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Patrik Sheridan	Elle’s Bells	0:03:34	87.0	Country/AC	YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
525	gpm_stl.csv	168451096	Me In Love	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	KLEIGH	Go for the Heart	0:04:24	67.0	Singer/Songwriter	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
534	gpm_stl.csv	174339968	The Cemetery Stomp	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Eric W Nelson, Gregory D Putnam		0:02:15		KFS	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
535	gpm_stl.csv	174384327	ME IN LOVE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:53			YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
536	gpm_stl.csv	174385235	Kleigh - Live Free Amin 64BPM PIANO AND VOCAL	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	KLEIGH		0:04:26	64.0	Singer Songwriter	YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
553	gpm_stl.csv	175178456	BE TRUSTWORTHY - Male 1	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:04:28			YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER;VERSION_SUFFIX_REVIEW
554	gpm_stl.csv	175178759	BETWEEN THE EARS - Male	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Male	0:02:57	100.0	Alt Country	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER;VERSION_SUFFIX_REVIEW
557	gpm_stl.csv	175179605	CAN'T GET IT INTO MY HEAD - COVER INSTRO	CAN'T GET IT INTO MY HEAD - COVER - INSTRO			0:03:02		Abstract	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	COVER_RIGHTS_SOURCE_REVIEW
