track_id_assignment_batch_id	assignment_row_number	registry_import_batch_id	registry_import_row_number	source_queue_file	source_queue_row_number	source_csv	source_id	source_title	proposed_display_title	artist	album	assigned_gpmc_track_id	assignment_status	official_track_record_status	pix_status	lt_pix_status	kkr_status	ci_status	assignment_note
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	488	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	488	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	489	gpm_stl.csv	175178347	BE TRUSTWORTHY	BE TRUSTWORTHY			GPMC-TRK-000488	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	489	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	489	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	490	gpm_stl.csv	175178876	BIG 'N LOUD-STRIPPED DOWN	BIG 'N LOUD-STRIPPED DOWN			GPMC-TRK-000489	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	490	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	490	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	491	gpm_stl.csv	175178883	BIG 'N LOUD	BIG 'N LOUD			GPMC-TRK-000490	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	491	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	491	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	492	gpm_stl.csv	175180849	DON'T CALL IT LOVE	DON'T CALL IT LOVE			GPMC-TRK-000491	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	492	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	492	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	493	gpm_stl.csv	175181059	I LIVE FOR THIS - Exclusive to SpiderCues	I LIVE FOR THIS - Exclusive to SpiderCues	G Putnam Music	Male	GPMC-TRK-000492	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	493	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	493	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	494	gpm_stl.csv	175181060	HAD ME BELIEVIN' - Exclusive to SpiderCues	HAD ME BELIEVIN' - Exclusive to SpiderCues	G Putnam Music	Female	GPMC-TRK-000493	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	494	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	494	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	495	gpm_stl.csv	175181061	GET A CLUE - Exclusive to SpiderCues	GET A CLUE - Exclusive to SpiderCues	G Putnam Music	Female	GPMC-TRK-000494	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	495	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	495	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	496	gpm_stl.csv	175181520	LISTEN - Exclusive to SpiderCues	LISTEN - Exclusive to SpiderCues	G Putnam Music	Female	GPMC-TRK-000495	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	496	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	496	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	497	gpm_stl.csv	175181606	FAR AWAY FROM HERE	FAR AWAY FROM HERE			GPMC-TRK-000496	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	497	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	497	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	498	gpm_stl.csv	175182297	GOING OFF THE DEEP END - MASTER TV MIX	GOING OFF THE DEEP END - MASTER TV MIX			GPMC-TRK-000497	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	498	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	498	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	499	gpm_stl.csv	175183479	CLEAN SWEEP - Exclusive to SpiderCues	CLEAN SWEEP - Exclusive to SpiderCues	G Putnam Music	Female	GPMC-TRK-000498	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	499	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	499	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	500	gpm_stl.csv	175183483	A WOMAN KNOWS - Exclusive to SpiderCues	A WOMAN KNOWS - Exclusive to SpiderCues	G Putnam Music	Female	GPMC-TRK-000499	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	500	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	500	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	501	gpm_stl.csv	179459166	Pop Star	Pop Star	Kleigh		GPMC-TRK-000500	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	501	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	501	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	502	gpm_stl.csv	179462407	Pop Star instrumental	Pop Star - INSTRO	Kleigh		GPMC-TRK-000501	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	502	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	502	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	503	gpm_stl.csv	179462454	DOWN BABY instrumental	DOWN BABY - INSTRO	KLEIGH	Go for the Heart	GPMC-TRK-000502	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	503	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	503	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	504	gpm_stl.csv	179462498	DIVE RIGHT INTO YOU  instrumental	DIVE RIGHT INTO YOU - INSTRO	KLEIGH	Universe of Dreams	GPMC-TRK-000503	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	504	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	504	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	505	gpm_stl.csv	180050979	Just like You	Just like You	Kleigh		GPMC-TRK-000504	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
